,singleSetAffix,affixName,affixDisplayName,affixTitle,affixId,levelRequirement,type,standardAffixEffectModifier,rerollChance,group,canRollOn,specificRerollChances,rollsOn,classSpecificity,tiers,titleType,t6Compatibility,affixProperties,rarityTier
82,False,Extra Potion Slot And Potion Health,Extra Potion Slot And Potion Health,Nomad's,82,15,0,0,0.75,4,[2],[],0,0,"[{'tierName': None, 'requiredLevel': 0, 'rolls': [{'min': 1, 'max': 1}, {'min': 10, 'max': 20}]}, {'tierName': None, 'requiredLevel': 0, 'rolls': [{'min': 1, 'max': 1}, {'min': 21, 'max': 35}]}, {'tierName': None, 'requiredLevel': 0, 'rolls': [{'min': 1, 'max': 1}, {'min': 36, 'max': 50}]}, {'tierName': None, 'requiredLevel': 0, 'rolls': [{'min': 1, 'max': 1}, {'min': 51, 'max': 70}]}, {'tierName': None, 'requiredLevel': 0, 'rolls': [{'min': 1, 'max': 1}, {'min': 71, 'max': 100}]}, {'tierName': None, 'requiredLevel': 0, 'rolls': [{'min': 2, 'max': 2}, {'min': 125, 'max': 160}]}, {'tierName': None, 'requiredLevel': 0, 'rolls': [{'min': 3, 'max': 3}, {'min': 161, 'max': 200}]}]",0,0,"[{'modDisplayName': 'Potion Slot', 'property': 49, 'specialTag': 0, 'tags': 0, 'modifierType': 0, 'setProperty': 0}, {'modDisplayName': 'Health Gained on Potion Use', 'property': 48, 'specialTag': 0, 'tags': 0, 'modifierType': 0, 'setProperty': 0}]",T1
14,False,Freeze Rate Multiplier and Cold Resistance,Freeze Rate Multiplier and Cold Resistance,Glacial,14,15,0,0,0,4,"[21, 22, 20, 4]",[],0,0,"[{'tierName': None, 'requiredLevel': 0, 'rolls': [{'min': 0.2, 'max': 0.4}, {'min': 0.05, 'max': 0.05}]}, {'tierName': None, 'requiredLevel': 0, 'rolls': [{'min': 0.41, 'max': 0.65}, {'min': 0.06, 'max': 0.06}]}, {'tierName': None, 'requiredLevel': 0, 'rolls': [{'min': 0.66, 'max': 1}, {'min': 0.07, 'max': 0.07}]}, {'tierName': None, 'requiredLevel': 0, 'rolls': [{'min': 10.01, 'max': 10.4}, {'min': 0.08, 'max': 0.08}]}, {'tierName': None, 'requiredLevel': 0, 'rolls': [{'min': 10.41, 'max': 10.8}, {'min': 0.09, 'max': 0.1}]}, {'tierName': None, 'requiredLevel': 0, 'rolls': [{'min': 20.2, 'max': 20.7}, {'min': 0.12, 'max': 0.14}]}, {'tierName': None, 'requiredLevel': 0, 'rolls': [{'min': 20.71, 'max': 30.5}, {'min': 0.15, 'max': 0.18}]}]",0,0,"[{'modDisplayName': 'Freeze Rate Multiplier', 'property': 67, 'specialTag': 0, 'tags': 0, 'modifierType': 0, 'setProperty': 0}, {'modDisplayName': 'Cold Resistance', 'property': 14, 'specialTag': 0, 'tags': 0, 'modifierType': 0, 'setProperty': 0}]",T4
29,False,Hybrid Stun Avoidance,Hybrid Stun Avoidance,Monolithic,29,13,0,0.17,0.8,4,[20],[],0,0,"[{'tierName': None, 'requiredLevel': 0, 'rolls': [{'min': 20, 'max': 40}, {'min': 0.06, 'max': 0.08}]}, {'tierName': None, 'requiredLevel': 0, 'rolls': [{'min': 41, 'max': 80}, {'min': 0.09, 'max': 0.11}]}, {'tierName': None, 'requiredLevel': 0, 'rolls': [{'min': 81, 'max': 140}, {'min': 0.12, 'max': 0.15}]}, {'tierName': None, 'requiredLevel': 0, 'rolls': [{'min': 141, 'max': 210}, {'min': 0.16, 'max': 0.19}]}, {'tierName': None, 'requiredLevel': 0, 'rolls': [{'min': 211, 'max': 300}, {'min': 0.2, 'max': 0.25}]}, {'tierName': None, 'requiredLevel': 0, 'rolls': [{'min': 400, 'max': 500}, {'min': 0.3, 'max': 0.37}]}, {'tierName': None, 'requiredLevel': 0, 'rolls': [{'min': 501, 'max': 650}, {'min': 0.38, 'max': 0.5}]}]",0,0,"[{'modDisplayName': 'Stun Avoidance', 'property': 12, 'specialTag': 0, 'tags': 0, 'modifierType': 0, 'setProperty': 0}, {'modDisplayName': 'Stun Avoidance', 'property': 12, 'specialTag': 0, 'tags': 0, 'modifierType': 1, 'setProperty': 0}]",T1
42,False,Lightning Damage And Leech,Lightning Damage And Leech,Voltaic,42,18,0,0.75,0,4,[8],[],0,0,"[{'tierName': None, 'requiredLevel': 0, 'rolls': [{'min': 3, 'max': 4}, {'min': 0.03, 'max': 0.04}]}, {'tierName': None, 'requiredLevel': 0, 'rolls': [{'min': 5, 'max': 6}, {'min': 0.05, 'max': 0.06}]}, {'tierName': None, 'requiredLevel': 0, 'rolls': [{'min': 7, 'max': 8}, {'min': 0.07, 'max': 0.08}]}, {'tierName': None, 'requiredLevel': 0, 'rolls': [{'min': 9, 'max': 11}, {'min': 0.09, 'max': 0.11}]}, {'tierName': None, 'requiredLevel': 0, 'rolls': [{'min': 12, 'max': 15}, {'min': 0.12, 'max': 0.15}]}, {'tierName': None, 'requiredLevel': 0, 'rolls': [{'min': 19, 'max': 24}, {'min': 0.18, 'max': 0.23}]}, {'tierName': None, 'requiredLevel': 0, 'rolls': [{'min': 25, 'max': 30}, {'min': 0.24, 'max': 0.3}]}]",0,0,"[{'modDisplayName': 'Spell Lightning Damage', 'property': 0, 'specialTag': 0, 'tags': 258, 'modifierType': 0, 'setProperty': 0}, {'modDisplayName': 'Lightning Damage Leeched as Health', 'property': 51, 'specialTag': 0, 'tags': 2, 'modifierType': 0, 'setProperty': 0}]",T4
506,False,Spell Damage and Reduced Mana Cost,Spell Damage and Reduced Mana Cost,Spellslinger's,506,0,0,0.75,0,4,[8],[],0,0,"[{'tierName': None, 'requiredLevel': 0, 'rolls': [{'min': 0.05, 'max': 0.1}, {'min': -3, 'max': -3}]}, {'tierName': None, 'requiredLevel': 0, 'rolls': [{'min': 0.11, 'max': 0.2}, {'min': -3, 'max': -3}]}, {'tierName': None, 'requiredLevel': 0, 'rolls': [{'min': 0.21, 'max': 0.3}, {'min': -3, 'max': -3}]}, {'tierName': None, 'requiredLevel': 0, 'rolls': [{'min': 0.31, 'max': 0.4}, {'min': -3, 'max': -3}]}, {'tierName': None, 'requiredLevel': 0, 'rolls': [{'min': 0.41, 'max': 0.5}, {'min': -3, 'max': -3}]}, {'tierName': None, 'requiredLevel': 0, 'rolls': [{'min': 0.6, 'max': 0.75}, {'min': -4, 'max': -4}]}, {'tierName': None, 'requiredLevel': 0, 'rolls': [{'min': 0.76, 'max': 1}, {'min': -5, 'max': -5}]}]",0,0,"[{'modDisplayName': 'Spell Damage', 'property': 0, 'specialTag': 0, 'tags': 256, 'modifierType': 1, 'setProperty': 0}, {'modDisplayName': 'Spell Mana Cost', 'property': 66, 'specialTag': 0, 'tags': 256, 'modifierType': 0, 'setProperty': 0}]",T4
507,False,Throwing Damage and Reduced Mana Cost,Throwing Damage and Reduced Mana Cost,Ballista's,507,6,0,0,0.15,4,[21],[],0,0,"[{'tierName': None, 'requiredLevel': 0, 'rolls': [{'min': 3, 'max': 4}, {'min': -3, 'max': -3}]}, {'tierName': None, 'requiredLevel': 0, 'rolls': [{'min': 5, 'max': 6}, {'min': -3, 'max': -3}]}, {'tierName': None, 'requiredLevel': 0, 'rolls': [{'min': 7, 'max': 8}, {'min': -3, 'max': -3}]}, {'tierName': None, 'requiredLevel': 0, 'rolls': [{'min': 9, 'max': 10}, {'min': -3, 'max': -3}]}, {'tierName': None, 'requiredLevel': 0, 'rolls': [{'min': 11, 'max': 13}, {'min': -3, 'max': -3}]}, {'tierName': None, 'requiredLevel': 0, 'rolls': [{'min': 17, 'max': 21}, {'min': -4, 'max': -4}]}, {'tierName': None, 'requiredLevel': 0, 'rolls': [{'min': 22, 'max': 26}, {'min': -5, 'max': -5}]}]",0,0,"[{'modDisplayName': 'Throwing Attack Physical Damage', 'property': 0, 'specialTag': 0, 'tags': 1025, 'modifierType': 0, 'setProperty': 0}, {'modDisplayName': 'Throwing Attack Mana Cost', 'property': 66, 'specialTag': 0, 'tags': 1024, 'modifierType': 0, 'setProperty': 0}]",T4
101,False,Throwing Damage And Fire Vulnerability,Throwing Damage And Fire Vulnerability,Cursed,101,42,0,0,0.5,4,"[21, 20]",[],0,0,"[{'tierName': None, 'requiredLevel': 0, 'rolls': [{'min': 7, 'max': 7}, {'min': 0.1, 'max': 0.1}]}, {'tierName': None, 'requiredLevel': 0, 'rolls': [{'min': 8, 'max': 9}, {'min': 0.09, 'max': 0.09}]}, {'tierName': None, 'requiredLevel': 0, 'rolls': [{'min': 10, 'max': 11}, {'min': 0.08, 'max': 0.08}]}, {'tierName': None, 'requiredLevel': 0, 'rolls': [{'min': 12, 'max': 13}, {'min': 0.07, 'max': 0.07}]}, {'tierName': None, 'requiredLevel': 0, 'rolls': [{'min': 14, 'max': 17}, {'min': 0.06, 'max': 0.05}]}, {'tierName': None, 'requiredLevel': 0, 'rolls': [{'min': 22, 'max': 26}, {'min': 0.04, 'max': 0.04}]}, {'tierName': None, 'requiredLevel': 0, 'rolls': [{'min': 27, 'max': 34}, {'min': 0.03, 'max': 0.03}]}]",0,0,"[{'modDisplayName': 'Throwing Attack Fire Damage', 'property': 0, 'specialTag': 0, 'tags': 1032, 'modifierType': 0, 'setProperty': 0}, {'modDisplayName': 'Fire Damage Taken', 'property': 6, 'specialTag': 0, 'tags': 8, 'modifierType': 1, 'setProperty': 0}]",T2
129,False,Idol Mage Increased Mana And Armor,Mana And Armor,of the Stronghold,129,0,1,0,0,0,"[29, 31]",[],1,4,"[{'tierName': None, 'requiredLevel': 0, 'rolls': [{'min': 0.05, 'max': 0.12}, {'min': 0.05, 'max': 0.12}]}]",0,0,"[{'modDisplayName': 'Armor', 'property': 10, 'specialTag': 0, 'tags': 0, 'modifierType': 1, 'setProperty': 0}, {'modDisplayName': 'Mana', 'property': 8, 'specialTag': 0, 'tags': 0, 'modifierType': 1, 'setProperty': 0}]",T4
160,False,Idol Primalist Shared Melee Bleed Chance,Chance To Bleed on Melee Hit for You and Your Minions,of Sharpness,160,0,1,0,0,0,"[30, 32]",[],1,2,"[{'tierName': None, 'requiredLevel': 0, 'rolls': [{'min': 0.15, 'max': 0.4}, {'min': 0.15, 'max': 0.4}]}]",0,0,"[{'modDisplayName': 'Melee Chance To Bleed On Hit', 'property': 1, 'specialTag': 2, 'tags': 512, 'modifierType': 0, 'setProperty': 0}, {'modDisplayName': 'Minion Melee Chance To Bleed On Hit', 'property': 1, 'specialTag': 2, 'tags': 8704, 'modifierType': 0, 'setProperty': 0}]",T4
161,False,Idol Primalist Shared Bleed Duration,Melee Bleed Duration For You And Your Minions,Gouging,161,0,0,0,0,0,[33],[],1,2,"[{'tierName': None, 'requiredLevel': 0, 'rolls': [{'min': 0.07, 'max': 0.25}, {'min': 0.07, 'max': 0.2}]}]",0,0,"[{'modDisplayName': 'Increased Bleed Duration', 'property': 42, 'specialTag': 2, 'tags': 0, 'modifierType': 0, 'setProperty': 0}, {'modDisplayName': 'Increased Minion Bleed Duration', 'property': 42, 'specialTag': 2, 'tags': 8192, 'modifierType': 0, 'setProperty': 0}]",T4
