,singleSetAffix,affixName,affixDisplayName,affixTitle,affixId,levelRequirement,type,standardAffixEffectModifier,rerollChance,group,canRollOn,specificRerollChances,rollsOn,classSpecificity,tiers,titleType,t6Compatibility,affixProperties,rarityTier
31,False,Added Armor,Armour,of the Turtle,31,0,1,0,0,0,"[0, 1, 3, 4, 18]",[],0,0,"[{'tierName': None, 'requiredLevel': 0, 'rolls': [{'min': 6, 'max': 20}]}, {'tierName': None, 'requiredLevel': 0, 'rolls': [{'min': 21, 'max': 35}]}, {'tierName': None, 'requiredLevel': 0, 'rolls': [{'min': 36, 'max': 55}]}, {'tierName': None, 'requiredLevel': 0, 'rolls': [{'min': 56, 'max': 80}]}, {'tierName': None, 'requiredLevel': 0, 'rolls': [{'min': 81, 'max': 110}]}, {'tierName': None, 'requiredLevel': 0, 'rolls': [{'min': 140, 'max': 180}]}, {'tierName': None, 'requiredLevel': 0, 'rolls': [{'min': 181, 'max': 240}]}]",0,0,"[{'modDisplayName': None, 'property': 10, 'specialTag': 0, 'tags': 0, 'modifierType': 0, 'setProperty': 0}]",T4
41,False,Health Gained on Block,Health Gained on Block,Unbreakable,41,15,0,0.17,0,0,[18],[],0,0,"[{'tierName': None, 'requiredLevel': 0, 'rolls': [{'min': 3, 'max': 3}]}, {'tierName': None, 'requiredLevel': 0, 'rolls': [{'min': 4, 'max': 4}]}, {'tierName': None, 'requiredLevel': 0, 'rolls': [{'min': 5, 'max': 5}]}, {'tierName': None, 'requiredLevel': 0, 'rolls': [{'min': 6, 'max': 6}]}, {'tierName': None, 'requiredLevel': 0, 'rolls': [{'min': 7, 'max': 9}]}, {'tierName': None, 'requiredLevel': 0, 'rolls': [{'min': 12, 'max': 14}]}, {'tierName': None, 'requiredLevel': 0, 'rolls': [{'min': 15, 'max': 18}]}]",0,0,"[{'modDisplayName': None, 'property': 38, 'specialTag': 6, 'tags': 0, 'modifierType': 0, 'setProperty': 0}]",T4
3,False,Added Block Chance,Block Chance,Guardian's,3,0,0,0.17,0,0,[18],[],0,0,"[{'tierName': None, 'requiredLevel': 0, 'rolls': [{'min': 0.03, 'max': 0.04}]}, {'tierName': None, 'requiredLevel': 0, 'rolls': [{'min': 0.05, 'max': 0.06}]}, {'tierName': None, 'requiredLevel': 0, 'rolls': [{'min': 0.07, 'max': 0.08}]}, {'tierName': None, 'requiredLevel': 0, 'rolls': [{'min': 0.09, 'max': 0.1}]}, {'tierName': None, 'requiredLevel': 0, 'rolls': [{'min': 0.11, 'max': 0.14}]}, {'tierName': None, 'requiredLevel': 0, 'rolls': [{'min': 0.18, 'max': 0.22}]}, {'tierName': None, 'requiredLevel': 0, 'rolls': [{'min': 0.23, 'max': 0.28}]}]",0,0,"[{'modDisplayName': None, 'property': 29, 'specialTag': 0, 'tags': 0, 'modifierType': 0, 'setProperty': 0}]",T4
81,False,Added Block Effectiveness,Block Effectiveness,Protective,81,0,0,0.17,0,0,[18],[],0,0,"[{'tierName': None, 'requiredLevel': 0, 'rolls': [{'min': 40, 'max': 80}]}, {'tierName': None, 'requiredLevel': 0, 'rolls': [{'min': 81, 'max': 150}]}, {'tierName': None, 'requiredLevel': 0, 'rolls': [{'min': 151, 'max': 240}]}, {'tierName': None, 'requiredLevel': 0, 'rolls': [{'min': 241, 'max': 350}]}, {'tierName': None, 'requiredLevel': 0, 'rolls': [{'min': 351, 'max': 500}]}, {'tierName': None, 'requiredLevel': 0, 'rolls': [{'min': 700, 'max': 950}]}, {'tierName': None, 'requiredLevel': 0, 'rolls': [{'min': 951, 'max': 1300}]}]",0,0,"[{'modDisplayName': None, 'property': 53, 'specialTag': 0, 'tags': 0, 'modifierType': 0, 'setProperty': 0}]",T4
17,False,Cold Resistance,Cold Resistance,of Frost,17,8,1,0,0.3,0,"[0, 1, 2, 3, 4, 18, 19, 20, 21, 22, 17]","[{'equipmentType': 3, 'rerollChance': 0.7}, {'equipmentType': 17, 'rerollChance': 0.7}]",0,0,"[{'tierName': None, 'requiredLevel': 0, 'rolls': [{'min': 0.05, 'max': 0.09}]}, {'tierName': None, 'requiredLevel': 0, 'rolls': [{'min': 0.1, 'max': 0.14}]}, {'tierName': None, 'requiredLevel': 0, 'rolls': [{'min': 0.15, 'max': 0.21}]}, {'tierName': None, 'requiredLevel': 0, 'rolls': [{'min': 0.22, 'max': 0.29}]}, {'tierName': None, 'requiredLevel': 0, 'rolls': [{'min': 0.3, 'max': 0.45}]}, {'tierName': None, 'requiredLevel': 0, 'rolls': [{'min': 0.5, 'max': 0.6}]}, {'tierName': None, 'requiredLevel': 0, 'rolls': [{'min': 0.61, 'max': 0.75}]}]",0,2,"[{'modDisplayName': None, 'property': 14, 'specialTag': 0, 'tags': 0, 'modifierType': 0, 'setProperty': 0}]",T3
6,False,Added Critical Strike Multiplier,Critical Strike Multiplier,Eviscerating,6,20,0,0,0.4,3,"[22, 20, 5, 6, 7, 8, 9, 12, 13, 14, 15, 16, 23, 24, 10, 19]","[{'equipmentType': 6, 'rerollChance': 0}, {'equipmentType': 14, 'rerollChance': 0}]",0,0,"[{'tierName': None, 'requiredLevel': 0, 'rolls': [{'min': 0.07, 'max': 0.09}]}, {'tierName': None, 'requiredLevel': 0, 'rolls': [{'min': 0.1, 'max': 0.12}]}, {'tierName': None, 'requiredLevel': 0, 'rolls': [{'min': 0.13, 'max': 0.16}]}, {'tierName': None, 'requiredLevel': 0, 'rolls': [{'min': 0.17, 'max': 0.2}]}, {'tierName': None, 'requiredLevel': 0, 'rolls': [{'min': 0.21, 'max': 0.25}]}, {'tierName': None, 'requiredLevel': 0, 'rolls': [{'min': 0.32, 'max': 0.4}]}, {'tierName': None, 'requiredLevel': 0, 'rolls': [{'min': 0.41, 'max': 0.5}]}]",0,0,"[{'modDisplayName': None, 'property': 5, 'specialTag': 0, 'tags': 0, 'modifierType': 0, 'setProperty': 0}]",T3
8,False,Added Dodge Rating,Dodge Rating,of Evasion,8,0,1,0,0,0,"[0, 1, 2, 3, 4, 20, 21, 19]",[],0,0,"[{'tierName': None, 'requiredLevel': 0, 'rolls': [{'min': 15, 'max': 25}]}, {'tierName': None, 'requiredLevel': 0, 'rolls': [{'min': 26, 'max': 36}]}, {'tierName': None, 'requiredLevel': 0, 'rolls': [{'min': 37, 'max': 48}]}, {'tierName': None, 'requiredLevel': 0, 'rolls': [{'min': 49, 'max': 60}]}, {'tierName': None, 'requiredLevel': 0, 'rolls': [{'min': 61, 'max': 80}]}, {'tierName': None, 'requiredLevel': 0, 'rolls': [{'min': 100, 'max': 125}]}, {'tierName': None, 'requiredLevel': 0, 'rolls': [{'min': 126, 'max': 160}]}]",0,0,"[{'modDisplayName': None, 'property': 11, 'specialTag': 0, 'tags': 0, 'modifierType': 0, 'setProperty': 0}]",T4
80,False,Elemental Resistance,Elemental Resistance,of Insulation,80,27,1,0,0.3,0,"[0, 1, 2, 3, 4, 19, 18, 20, 21, 22, 17]","[{'equipmentType': 17, 'rerollChance': 0.7}]",0,0,"[{'tierName': None, 'requiredLevel': 0, 'rolls': [{'min': 0.04, 'max': 0.05}]}, {'tierName': None, 'requiredLevel': 0, 'rolls': [{'min': 0.06, 'max': 0.08}]}, {'tierName': None, 'requiredLevel': 0, 'rolls': [{'min': 0.09, 'max': 0.11}]}, {'tierName': None, 'requiredLevel': 0, 'rolls': [{'min': 0.12, 'max': 0.15}]}, {'tierName': None, 'requiredLevel': 0, 'rolls': [{'min': 0.16, 'max': 0.2}]}, {'tierName': None, 'requiredLevel': 0, 'rolls': [{'min': 0.24, 'max': 0.3}]}, {'tierName': None, 'requiredLevel': 0, 'rolls': [{'min': 0.31, 'max': 0.4}]}]",0,0,"[{'modDisplayName': None, 'property': 52, 'specialTag': 0, 'tags': 0, 'modifierType': 0, 'setProperty': 0}]",T3
13,False,Fire Resistance,Fire Resistance,of Embers,13,0,1,0,0.3,0,"[0, 1, 2, 3, 4, 18, 19, 20, 21, 22, 17]","[{'equipmentType': 3, 'rerollChance': 0.7}, {'equipmentType': 17, 'rerollChance': 0.7}]",0,0,"[{'tierName': None, 'requiredLevel': 0, 'rolls': [{'min': 0.05, 'max': 0.09}]}, {'tierName': None, 'requiredLevel': 0, 'rolls': [{'min': 0.1, 'max': 0.14}]}, {'tierName': None, 'requiredLevel': 0, 'rolls': [{'min': 0.15, 'max': 0.21}]}, {'tierName': None, 'requiredLevel': 0, 'rolls': [{'min': 0.22, 'max': 0.29}]}, {'tierName': None, 'requiredLevel': 0, 'rolls': [{'min': 0.3, 'max': 0.45}]}, {'tierName': None, 'requiredLevel': 0, 'rolls': [{'min': 0.5, 'max': 0.6}]}, {'tierName': None, 'requiredLevel': 0, 'rolls': [{'min': 0.61, 'max': 0.75}]}]",0,2,"[{'modDisplayName': None, 'property': 13, 'specialTag': 0, 'tags': 0, 'modifierType': 0, 'setProperty': 0}]",T3
25,False,Added Health,Health,of Life,25,0,1,0,0,0,"[0, 1, 2, 3, 4, 18, 21, 22, 20]",[],0,0,"[{'tierName': None, 'requiredLevel': 0, 'rolls': [{'min': 5, 'max': 15}]}, {'tierName': None, 'requiredLevel': 0, 'rolls': [{'min': 16, 'max': 25}]}, {'tierName': None, 'requiredLevel': 0, 'rolls': [{'min': 26, 'max': 40}]}, {'tierName': None, 'requiredLevel': 0, 'rolls': [{'min': 41, 'max': 55}]}, {'tierName': None, 'requiredLevel': 0, 'rolls': [{'min': 56, 'max': 75}]}, {'tierName': None, 'requiredLevel': 0, 'rolls': [{'min': 95, 'max': 115}]}, {'tierName': None, 'requiredLevel': 0, 'rolls': [{'min': 116, 'max': 150}]}]",0,0,"[{'modDisplayName': None, 'property': 7, 'specialTag': 0, 'tags': 0, 'modifierType': 0, 'setProperty': 0}]",T4
