baseTypeName,baseTypeId,maxAffixes,affixEffectModifier,type,isWeapon,maxSockets,minimumDropLevel,rerollChance,subTypeClassSpecificity,classAffinity,affinityRerollChance,usePerClassIncompatibilityDropLists,perClassIncompatibilityDropLists,displayName,subTypeId,levelRequirement,itemTags,addedWeaponRange,attackRate,classRequirement,subClassRequirement,IMSetTier,uniques.1.displayName,uniques.1.overrideLevelRequirement,uniques.1.levelRequirement,uniques.1.uniqueId,uniques.1.setId,uniques.1.rerollChance,uniques.1.noWorldDrops,uniques.1.isFractureUnique,uniques.1.isSetUnique,uniques.1.isLegendary,uniques.1.basicMods,uniques.1.descriptionParts,uniques.1.loreText,uniques.1.sprite,uniques.1.hideLevelRequirement,uniques.2.displayName,uniques.2.overrideLevelRequirement,uniques.2.levelRequirement,uniques.2.uniqueId,uniques.2.setId,uniques.2.rerollChance,uniques.2.noWorldDrops,uniques.2.isFractureUnique,uniques.2.isSetUnique,uniques.2.isLegendary,uniques.2.basicMods,uniques.2.descriptionParts,uniques.2.loreText,uniques.2.sprite,uniques.2.hideLevelRequirement
Blessing,34,0,0.0,34,0,0,0,1.0,0,0,0,0,[],Pride of Rebellion,0,0,0,0.0,1.0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Blessing,34,0,0.0,34,0,0,0,1.0,0,0,0,0,[],Grand Pride of Rebellion,1,0,0,0.0,1.0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Blessing,34,0,0.0,34,0,0,0,1.0,0,0,0,0,[],Sight of the Outcasts,2,0,0,0.0,1.0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Blessing,34,0,0.0,34,0,0,0,1.0,0,0,0,0,[],Grand Sight of the Outcasts,3,0,0,0.0,1.0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Blessing,34,0,0.0,34,0,0,0,1.0,0,0,0,0,[],Curse of Flesh,4,0,0,0.0,1.0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Blessing,34,0,0.0,34,0,0,0,1.0,0,0,0,0,[],Grand Curse of Flesh,5,0,0,0.0,1.0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Blessing,34,0,0.0,34,0,0,0,1.0,0,0,0,0,[],Favor of Souls,6,0,0,0.0,1.0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Blessing,34,0,0.0,34,0,0,0,1.0,0,0,0,0,[],Grand Favor of Souls,7,0,0,0.0,1.0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Blessing,34,0,0.0,34,0,0,0,1.0,0,0,0,0,[],Mark of Agony,8,0,0,0.0,1.0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Blessing,34,0,0.0,34,0,0,0,1.0,0,0,0,0,[],Grand Mark of Agony,9,0,0,0.0,1.0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
