,baseTypeName,displayName,baseTypeId,maxAffixes,affixEffectModifier,size,type,isWeapon,maxSockets,minimumDropLevel,rerollChance,subTypeClassSpecificity,classAffinity,affinityRerollChance,usePerClassIncompatibilityDropLists,perClassIncompatibilityDropLists,subItems
0,Helmets,Helmet,0,4,0,"{'x': 2, 'y': 2}",0,0,0,0,0,1,0,0,1,"[[24], [16, 17], [32, 33], [8, 9], [42, 43]]","{'displayName': 'Refuge Helmet', 'subTypeId': 0, 'levelRequirement': 0, 'cannotDrop': 1, 'itemTags': 0, 'implicits': [{'property': 10, 'specialTag': 0, 'tags': 0, 'type': 0, 'implicitValue': 14, 'implicitMaxValue': 14}], 'addedWeaponRange': 0, 'attackRate': 1, 'classRequirement': 0, 'subClassRequirement': 0, 'IMSetTier': 0, 'uniques': {}}"
0,Helmets,Helmet,0,4,0,"{'x': 2, 'y': 2}",0,0,0,0,0,1,0,0,1,"[[24], [16, 17], [32, 33], [8, 9], [42, 43]]","{'displayName': 'Jewelled Circlet', 'subTypeId': 1, 'levelRequirement': 7, 'cannotDrop': 1, 'itemTags': 0, 'implicits': [{'property': 10, 'specialTag': 0, 'tags': 0, 'type': 0, 'implicitValue': 5, 'implicitMaxValue': 5}, {'property': 8, 'specialTag': 0, 'tags': 0, 'type': 0, 'implicitValue': 10, 'implicitMaxValue': 35}, {'property': 0, 'specialTag': 0, 'tags': 256, 'type': 1, 'implicitValue': 0.05, 'implicitMaxValue': 0.25}], 'addedWeaponRange': 0, 'attackRate': 1, 'classRequirement': 0, 'subClassRequirement': 0, 'IMSetTier': 1, 'uniques': {'1': {'displayName': 'Calamity', 'overrideLevelRequirement': 0, 'levelRequirement': 0, 'uniqueId': 1, 'setId': 0, 'rerollChance': 0, 'noWorldDrops': 0, 'isFractureUnique': 0, 'isSetUnique': 0, 'isLegendary': 0, 'basicMods': [{'value': 10.5, 'property': 1, 'specialTag': 1, 'tags': 8, 'type': 0, 'hideStatMod': 1}, {'value': 0.4, 'property': 0, 'specialTag': 0, 'tags': 8, 'type': 1, 'hideStatMod': 0}], 'descriptionParts': [{'description': '150% chance to ignite on hit with fire skills', 'altText': None, 'setPart': 0, 'setItemRequirement': 0}, {'description': 'When you kill an enemy with a fire skill you take 4 fire damage over the next 2 seconds', 'altText': None, 'setPart': 0, 'setItemRequirement': 0}], 'loreText': 'Set the world ablaze and burn along with it', 'sprite': 'IIwBjeB2FiA.png', 'hideLevelRequirement': True}, '2': {'displayName': 'Fractured Crown', 'overrideLevelRequirement': 0, 'levelRequirement': 0, 'uniqueId': 2, 'setId': 0, 'rerollChance': 0, 'noWorldDrops': 1, 'isFractureUnique': 1, 'isSetUnique': 0, 'isLegendary': 0, 'basicMods': [{'value': -0.1, 'property': 6, 'specialTag': 0, 'tags': 0, 'type': 2, 'hideStatMod': 0}, {'value': 1, 'property': 5, 'specialTag': 0, 'tags': 256, 'type': 0, 'hideStatMod': 0}, {'value': 0.2, 'property': 69, 'specialTag': 0, 'tags': 256, 'type': 0, 'hideStatMod': 0}], 'descriptionParts': [{'description': 'You have no ward', 'altText': None, 'setPart': 0, 'setItemRequirement': 0}], 'loreText': 'Few goals have cost more lives than the quest for power', 'sprite': 'IIwBjeB2ECYg.png', 'hideLevelRequirement': True}}}"
0,Helmets,Helmet,0,4,0,"{'x': 2, 'y': 2}",0,0,0,0,0,1,0,0,1,"[[24], [16, 17], [32, 33], [8, 9], [42, 43]]","{'displayName': 'Iron Casque', 'subTypeId': 2, 'levelRequirement': 10, 'cannotDrop': 1, 'itemTags': 0, 'implicits': [{'property': 10, 'specialTag': 0, 'tags': 0, 'type': 0, 'implicitValue': 40, 'implicitMaxValue': 40}], 'addedWeaponRange': 0, 'attackRate': 1, 'classRequirement': 0, 'subClassRequirement': 0, 'IMSetTier': 2, 'uniques': {'1': {'displayName': 'Snowblind', 'overrideLevelRequirement': 0, 'levelRequirement': 0, 'uniqueId': 1, 'setId': 0, 'rerollChance': 0, 'noWorldDrops': 0, 'isFractureUnique': 0, 'isSetUnique': 0, 'isLegendary': 0, 'basicMods': [{'value': 80, 'property': 14, 'specialTag': 0, 'tags': 0, 'type': 0, 'hideStatMod': 0}, {'value': 0.8, 'property': 67, 'specialTag': 0, 'tags': 0, 'type': 0, 'hideStatMod': 0}, {'value': 40, 'property': 10, 'specialTag': 0, 'tags': 0, 'type': 0, 'hideStatMod': 0}, {'value': 0.2, 'property': 1, 'specialTag': 3, 'tags': 4, 'type': 0, 'hideStatMod': 1}, {'value': 0.2, 'property': 1, 'specialTag': 14, 'tags': 4, 'type': 0, 'hideStatMod': 1}], 'descriptionParts': [{'description': '20% chance to chill on hit with cold skills', 'altText': None, 'setPart': 0, 'setItemRequirement': 0}, {'description': '20% chance to blind on hit with cold skills', 'altText': None, 'setPart': 0, 'setItemRequirement': 0}, {'description': 'You cannot be blinded', 'altText': None, 'setPart': 0, 'setItemRequirement': 0}], 'loreText': 'Blind with the snow, never blinded by it', 'sprite': 'IIwBjYJgdhYg.png', 'hideLevelRequirement': True}}}"
0,Helmets,Helmet,0,4,0,"{'x': 2, 'y': 2}",0,0,0,0,0,1,0,0,1,"[[24], [16, 17], [32, 33], [8, 9], [42, 43]]","{'displayName': 'Dome Cap', 'subTypeId': 4, 'levelRequirement': 24, 'cannotDrop': 1, 'itemTags': 0, 'implicits': [{'property': 10, 'specialTag': 0, 'tags': 0, 'type': 0, 'implicitValue': 50, 'implicitMaxValue': 50}], 'addedWeaponRange': 0, 'attackRate': 1, 'classRequirement': 0, 'subClassRequirement': 0, 'IMSetTier': 4, 'uniques': {'1': {'displayName': 'Decayed Skull', 'overrideLevelRequirement': 0, 'levelRequirement': 0, 'uniqueId': 1, 'setId': 0, 'rerollChance': 0, 'noWorldDrops': 0, 'isFractureUnique': 0, 'isSetUnique': 0, 'isLegendary': 0, 'basicMods': [{'value': 0.8, 'property': 0, 'specialTag': 0, 'tags': 16, 'type': 1, 'hideStatMod': 1}, {'value': 0.8, 'property': 0, 'specialTag': 0, 'tags': 32, 'type': 1, 'hideStatMod': 1}, {'value': 0.2, 'property': 31, 'specialTag': 0, 'tags': 16, 'type': 0, 'hideStatMod': 1}, {'value': 0.2, 'property': 31, 'specialTag': 0, 'tags': 32, 'type': 0, 'hideStatMod': 1}, {'value': 30, 'property': 10, 'specialTag': 0, 'tags': 0, 'type': 0, 'hideStatMod': 0}], 'descriptionParts': [{'description': '80% increased void and necrotic damage', 'altText': None, 'setPart': 0, 'setItemRequirement': 0}, {'description': '20% of void and necrotic damage taken as physical damage', 'altText': None, 'setPart': 0, 'setItemRequirement': 0}], 'loreText': ""A monument to the world's decay carved in bone and steel"", 'sprite': 'IIwBjYFgdhYg.png', 'hideLevelRequirement': True}}}"
0,Helmets,Helmet,0,4,0,"{'x': 2, 'y': 2}",0,0,0,0,0,1,0,0,1,"[[24], [16, 17], [32, 33], [8, 9], [42, 43]]","{'displayName': 'Bronze Casque', 'subTypeId': 5, 'levelRequirement': 39, 'cannotDrop': 1, 'itemTags': 0, 'implicits': [{'property': 10, 'specialTag': 0, 'tags': 0, 'type': 0, 'implicitValue': 75, 'implicitMaxValue': 75}], 'addedWeaponRange': 0, 'attackRate': 1, 'classRequirement': 0, 'subClassRequirement': 0, 'IMSetTier': 8, 'uniques': {'1': {'displayName': ""Isadora's Revenge"", 'overrideLevelRequirement': 0, 'levelRequirement': 0, 'uniqueId': 1, 'setId': 1, 'rerollChance': 0, 'noWorldDrops': 0, 'isFractureUnique': 0, 'isSetUnique': 1, 'isLegendary': 0, 'basicMods': [{'value': 0.1, 'property': 62, 'specialTag': 0, 'tags': 0, 'type': 0, 'hideStatMod': 0}, {'value': 180, 'property': 12, 'specialTag': 0, 'tags': 0, 'type': 0, 'hideStatMod': 0}, {'value': 40, 'property': 7, 'specialTag': 0, 'tags': 0, 'type': 0, 'hideStatMod': 0}], 'descriptionParts': [{'description': '80% increased necrotic damage if you have been hit recently', 'altText': 'recently refers to the past 4 seconds', 'setPart': 1, 'setItemRequirement': 2}, {'description': '+30% mana efficiency with necrotic abilities', 'altText': None, 'setPart': 1, 'setItemRequirement': 3}], 'loreText': '\'""...and enraged she arose with murder in her eyes...""\'', 'sprite': 'IIwBjYVgDhYg.png', 'hideLevelRequirement': True}}}"
0,Helmets,Helmet,0,4,0,"{'x': 2, 'y': 2}",0,0,0,0,0,1,0,0,1,"[[24], [16, 17], [32, 33], [8, 9], [42, 43]]","{'displayName': 'Gladiator Helmet', 'subTypeId': 6, 'levelRequirement': 65, 'cannotDrop': 1, 'itemTags': 0, 'implicits': [{'property': 10, 'specialTag': 0, 'tags': 0, 'type': 0, 'implicitValue': 130, 'implicitMaxValue': 130}], 'addedWeaponRange': 0, 'attackRate': 1, 'classRequirement': 0, 'subClassRequirement': 0, 'IMSetTier': 8, 'uniques': {'1': {'displayName': 'Boneclamor Barbute', 'overrideLevelRequirement': 0, 'levelRequirement': 0, 'uniqueId': 1, 'setId': 0, 'rerollChance': 0, 'noWorldDrops': 0, 'isFractureUnique': 0, 'isSetUnique': 0, 'isLegendary': 0, 'basicMods': [{'value': 150, 'property': 10, 'specialTag': 0, 'tags': 0, 'type': 0, 'hideStatMod': 0}, {'value': 10, 'property': 22, 'specialTag': 0, 'tags': 0, 'type': 0, 'hideStatMod': 0}, {'value': 10, 'property': 21, 'specialTag': 0, 'tags': 0, 'type': 0, 'hideStatMod': 0}, {'value': 150, 'property': 27, 'specialTag': 0, 'tags': 0, 'type': 0, 'hideStatMod': 0}, {'value': 15, 'property': 92, 'specialTag': 0, 'tags': 0, 'type': 0, 'hideStatMod': 0}], 'descriptionParts': [], 'loreText': '\'""The essence of the bone seemed to reverberate within my skull. Singing and dancing into a song of fortifying vigor. Never have I felt so alive."" - Ethenus, First Legate of the Immortal Legion.\'', 'sprite': 'IIwBjYNgdhYg.png', 'hideLevelRequirement': True}}}"
0,Helmets,Helmet,0,4,0,"{'x': 2, 'y': 2}",0,0,0,0,0,1,0,0,1,"[[24], [16, 17], [32, 33], [8, 9], [42, 43]]","{'displayName': 'Outcast Cage', 'subTypeId': 8, 'levelRequirement': 0, 'cannotDrop': 0, 'itemTags': 0, 'implicits': [{'property': 10, 'specialTag': 0, 'tags': 0, 'type': 0, 'implicitValue': 13, 'implicitMaxValue': 13}], 'addedWeaponRange': 0, 'attackRate': 1, 'classRequirement': 8, 'subClassRequirement': 0, 'IMSetTier': 0, 'uniques': {}}"
0,Helmets,Helmet,0,4,0,"{'x': 2, 'y': 2}",0,0,0,0,0,1,0,0,1,"[[24], [16, 17], [32, 33], [8, 9], [42, 43]]","{'displayName': 'Witch Cap', 'subTypeId': 9, 'levelRequirement': 5, 'cannotDrop': 0, 'itemTags': 0, 'implicits': [{'property': 10, 'specialTag': 0, 'tags': 0, 'type': 0, 'implicitValue': 7, 'implicitMaxValue': 7}, {'property': 0, 'specialTag': 0, 'tags': 256, 'type': 1, 'implicitValue': 0.1, 'implicitMaxValue': 0.2}], 'addedWeaponRange': 0, 'attackRate': 1, 'classRequirement': 8, 'subClassRequirement': 0, 'IMSetTier': 1, 'uniques': {}}"
0,Helmets,Helmet,0,4,0,"{'x': 2, 'y': 2}",0,0,0,0,0,1,0,0,1,"[[24], [16, 17], [32, 33], [8, 9], [42, 43]]","{'displayName': 'Death Mask', 'subTypeId': 10, 'levelRequirement': 23, 'cannotDrop': 0, 'itemTags': 0, 'implicits': [{'property': 10, 'specialTag': 0, 'tags': 0, 'type': 0, 'implicitValue': 29, 'implicitMaxValue': 29}, {'property': 7, 'specialTag': 0, 'tags': 8192, 'type': 1, 'implicitValue': 0.2, 'implicitMaxValue': 0.5}], 'addedWeaponRange': 0, 'attackRate': 1, 'classRequirement': 8, 'subClassRequirement': 0, 'IMSetTier': 2, 'uniques': {}}"
0,Helmets,Helmet,0,4,0,"{'x': 2, 'y': 2}",0,0,0,0,0,1,0,0,1,"[[24], [16, 17], [32, 33], [8, 9], [42, 43]]","{'displayName': 'Coven Hood', 'subTypeId': 11, 'levelRequirement': 31, 'cannotDrop': 0, 'itemTags': 0, 'implicits': [{'property': 10, 'specialTag': 0, 'tags': 0, 'type': 0, 'implicitValue': 23, 'implicitMaxValue': 23}, {'property': 4, 'specialTag': 0, 'tags': 256, 'type': 1, 'implicitValue': 0.25, 'implicitMaxValue': 0.5}], 'addedWeaponRange': 0, 'attackRate': 1, 'classRequirement': 8, 'subClassRequirement': 0, 'IMSetTier': 4, 'uniques': {}}"
