,Unnamed: 0,baseTypeName,baseTypeId,maxAffixes,affixEffectModifier,size,type,isWeapon,maxSockets,minimumDropLevel,rerollChance,subTypeClassSpecificity,classAffinity,affinityRerollChance,usePerClassIncompatibilityDropLists,perClassIncompatibilityDropLists,displayName,subTypeId,levelRequirement,cannotDrop,itemTags,implicits,addedWeaponRange,attackRate,classRequirement,subClassRequirement,IMSetTier,uniques.1.displayName,uniques.1.overrideLevelRequirement,uniques.1.levelRequirement,uniques.1.uniqueId,uniques.1.setId,uniques.1.rerollChance,uniques.1.noWorldDrops,uniques.1.isFractureUnique,uniques.1.isSetUnique,uniques.1.isLegendary,uniques.1.basicMods,uniques.1.descriptionParts,uniques.1.loreText,uniques.1.sprite,uniques.1.hideLevelRequirement,uniques.2.displayName,uniques.2.overrideLevelRequirement,uniques.2.levelRequirement,uniques.2.uniqueId,uniques.2.setId,uniques.2.rerollChance,uniques.2.noWorldDrops,uniques.2.isFractureUnique,uniques.2.isSetUnique,uniques.2.isLegendary,uniques.2.basicMods,uniques.2.descriptionParts,uniques.2.loreText,uniques.2.sprite,uniques.2.hideLevelRequirement
0,0,Helmets,0,4,0.0,"{'x': 2, 'y': 2}",0,0,0,0,0.0,1,0,0,1,"[[24], [16, 17], [32, 33], [8, 9], [42, 43]]",Refuge Helmet,0,0,1,0,"[{'property': 10, 'specialTag': 0, 'tags': 0, 'type': 0, 'implicitValue': 14, 'implicitMaxValue': 14}]",0.0,1.0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,1,Helmets,0,4,0.0,"{'x': 2, 'y': 2}",0,0,0,0,0.0,1,0,0,1,"[[24], [16, 17], [32, 33], [8, 9], [42, 43]]",Jewelled Circlet,1,7,1,0,"[{'property': 10, 'specialTag': 0, 'tags': 0, 'type': 0, 'implicitValue': 5, 'implicitMaxValue': 5}, {'property': 8, 'specialTag': 0, 'tags': 0, 'type': 0, 'implicitValue': 10, 'implicitMaxValue': 35}, {'property': 0, 'specialTag': 0, 'tags': 256, 'type': 1, 'implicitValue': 0.05, 'implicitMaxValue': 0.25}]",0.0,1.0,0,0,1,Calamity,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,"[{'value': 10.5, 'property': 1, 'specialTag': 1, 'tags': 8, 'type': 0, 'hideStatMod': 1}, {'value': 0.4, 'property': 0, 'specialTag': 0, 'tags': 8, 'type': 1, 'hideStatMod': 0}]","[{'description': '150% chance to ignite on hit with fire skills', 'altText': None, 'setPart': 0, 'setItemRequirement': 0}, {'description': 'When you kill an enemy with a fire skill you take 4 fire damage over the next 2 seconds', 'altText': None, 'setPart': 0, 'setItemRequirement': 0}]",Set the world ablaze and burn along with it,IIwBjeB2FiA.png,True,Fractured Crown,0.0,0.0,2.0,0.0,0.0,1.0,1.0,0.0,0.0,"[{'value': -0.1, 'property': 6, 'specialTag': 0, 'tags': 0, 'type': 2, 'hideStatMod': 0}, {'value': 1, 'property': 5, 'specialTag': 0, 'tags': 256, 'type': 0, 'hideStatMod': 0}, {'value': 0.2, 'property': 69, 'specialTag': 0, 'tags': 256, 'type': 0, 'hideStatMod': 0}]","[{'description': 'You have no ward', 'altText': None, 'setPart': 0, 'setItemRequirement': 0}]",Few goals have cost more lives than the quest for power,IIwBjeB2ECYg.png,True
2,2,Helmets,0,4,0.0,"{'x': 2, 'y': 2}",0,0,0,0,0.0,1,0,0,1,"[[24], [16, 17], [32, 33], [8, 9], [42, 43]]",Iron Casque,2,10,1,0,"[{'property': 10, 'specialTag': 0, 'tags': 0, 'type': 0, 'implicitValue': 40, 'implicitMaxValue': 40}]",0.0,1.0,0,0,2,Snowblind,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,"[{'value': 80, 'property': 14, 'specialTag': 0, 'tags': 0, 'type': 0, 'hideStatMod': 0}, {'value': 0.8, 'property': 67, 'specialTag': 0, 'tags': 0, 'type': 0, 'hideStatMod': 0}, {'value': 40, 'property': 10, 'specialTag': 0, 'tags': 0, 'type': 0, 'hideStatMod': 0}, {'value': 0.2, 'property': 1, 'specialTag': 3, 'tags': 4, 'type': 0, 'hideStatMod': 1}, {'value': 0.2, 'property': 1, 'specialTag': 14, 'tags': 4, 'type': 0, 'hideStatMod': 1}]","[{'description': '20% chance to chill on hit with cold skills', 'altText': None, 'setPart': 0, 'setItemRequirement': 0}, {'description': '20% chance to blind on hit with cold skills', 'altText': None, 'setPart': 0, 'setItemRequirement': 0}, {'description': 'You cannot be blinded', 'altText': None, 'setPart': 0, 'setItemRequirement': 0}]","Blind with the snow, never blinded by it",IIwBjYJgdhYg.png,True,,,,,,,,,,,,,,,
3,3,Helmets,0,4,0.0,"{'x': 2, 'y': 2}",0,0,0,0,0.0,1,0,0,1,"[[24], [16, 17], [32, 33], [8, 9], [42, 43]]",Dome Cap,4,24,1,0,"[{'property': 10, 'specialTag': 0, 'tags': 0, 'type': 0, 'implicitValue': 50, 'implicitMaxValue': 50}]",0.0,1.0,0,0,4,Decayed Skull,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,"[{'value': 0.8, 'property': 0, 'specialTag': 0, 'tags': 16, 'type': 1, 'hideStatMod': 1}, {'value': 0.8, 'property': 0, 'specialTag': 0, 'tags': 32, 'type': 1, 'hideStatMod': 1}, {'value': 0.2, 'property': 31, 'specialTag': 0, 'tags': 16, 'type': 0, 'hideStatMod': 1}, {'value': 0.2, 'property': 31, 'specialTag': 0, 'tags': 32, 'type': 0, 'hideStatMod': 1}, {'value': 30, 'property': 10, 'specialTag': 0, 'tags': 0, 'type': 0, 'hideStatMod': 0}]","[{'description': '80% increased void and necrotic damage', 'altText': None, 'setPart': 0, 'setItemRequirement': 0}, {'description': '20% of void and necrotic damage taken as physical damage', 'altText': None, 'setPart': 0, 'setItemRequirement': 0}]",A monument to the world's decay carved in bone and steel,IIwBjYFgdhYg.png,True,,,,,,,,,,,,,,,
4,4,Helmets,0,4,0.0,"{'x': 2, 'y': 2}",0,0,0,0,0.0,1,0,0,1,"[[24], [16, 17], [32, 33], [8, 9], [42, 43]]",Bronze Casque,5,39,1,0,"[{'property': 10, 'specialTag': 0, 'tags': 0, 'type': 0, 'implicitValue': 75, 'implicitMaxValue': 75}]",0.0,1.0,0,0,8,Isadora's Revenge,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,"[{'value': 0.1, 'property': 62, 'specialTag': 0, 'tags': 0, 'type': 0, 'hideStatMod': 0}, {'value': 180, 'property': 12, 'specialTag': 0, 'tags': 0, 'type': 0, 'hideStatMod': 0}, {'value': 40, 'property': 7, 'specialTag': 0, 'tags': 0, 'type': 0, 'hideStatMod': 0}]","[{'description': '80% increased necrotic damage if you have been hit recently', 'altText': 'recently refers to the past 4 seconds', 'setPart': 1, 'setItemRequirement': 2}, {'description': '+30% mana efficiency with necrotic abilities', 'altText': None, 'setPart': 1, 'setItemRequirement': 3}]","'""...and enraged she arose with murder in her eyes...""'",IIwBjYVgDhYg.png,True,,,,,,,,,,,,,,,
5,5,Helmets,0,4,0.0,"{'x': 2, 'y': 2}",0,0,0,0,0.0,1,0,0,1,"[[24], [16, 17], [32, 33], [8, 9], [42, 43]]",Gladiator Helmet,6,65,1,0,"[{'property': 10, 'specialTag': 0, 'tags': 0, 'type': 0, 'implicitValue': 130, 'implicitMaxValue': 130}]",0.0,1.0,0,0,8,Boneclamor Barbute,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,"[{'value': 150, 'property': 10, 'specialTag': 0, 'tags': 0, 'type': 0, 'hideStatMod': 0}, {'value': 10, 'property': 22, 'specialTag': 0, 'tags': 0, 'type': 0, 'hideStatMod': 0}, {'value': 10, 'property': 21, 'specialTag': 0, 'tags': 0, 'type': 0, 'hideStatMod': 0}, {'value': 150, 'property': 27, 'specialTag': 0, 'tags': 0, 'type': 0, 'hideStatMod': 0}, {'value': 15, 'property': 92, 'specialTag': 0, 'tags': 0, 'type': 0, 'hideStatMod': 0}]",[],"'""The essence of the bone seemed to reverberate within my skull. Singing and dancing into a song of fortifying vigor. Never have I felt so alive."" - Ethenus, First Legate of the Immortal Legion.'",IIwBjYNgdhYg.png,True,,,,,,,,,,,,,,,
6,6,Helmets,0,4,0.0,"{'x': 2, 'y': 2}",0,0,0,0,0.0,1,0,0,1,"[[24], [16, 17], [32, 33], [8, 9], [42, 43]]",Outcast Cage,8,0,0,0,"[{'property': 10, 'specialTag': 0, 'tags': 0, 'type': 0, 'implicitValue': 13, 'implicitMaxValue': 13}]",0.0,1.0,8,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,7,Helmets,0,4,0.0,"{'x': 2, 'y': 2}",0,0,0,0,0.0,1,0,0,1,"[[24], [16, 17], [32, 33], [8, 9], [42, 43]]",Skull Cage,9,5,0,0,"[{'property': 10, 'specialTag': 0, 'tags': 0, 'type': 0, 'implicitValue': 7, 'implicitMaxValue': 7}, {'property': 0, 'specialTag': 0, 'tags': 256, 'type': 1, 'implicitValue': 0.1, 'implicitMaxValue': 0.2}]",0.0,1.0,8,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,8,Helmets,0,4,0.0,"{'x': 2, 'y': 2}",0,0,0,0,0.0,1,0,0,1,"[[24], [16, 17], [32, 33], [8, 9], [42, 43]]",Death Mask,10,23,0,0,"[{'property': 10, 'specialTag': 0, 'tags': 0, 'type': 0, 'implicitValue': 29, 'implicitMaxValue': 29}, {'property': 7, 'specialTag': 0, 'tags': 8192, 'type': 1, 'implicitValue': 0.2, 'implicitMaxValue': 0.5}]",0.0,1.0,8,0,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,9,Helmets,0,4,0.0,"{'x': 2, 'y': 2}",0,0,0,0,0.0,1,0,0,1,"[[24], [16, 17], [32, 33], [8, 9], [42, 43]]",Tomb Cage,11,31,0,0,"[{'property': 10, 'specialTag': 0, 'tags': 0, 'type': 0, 'implicitValue': 23, 'implicitMaxValue': 23}, {'property': 4, 'specialTag': 0, 'tags': 256, 'type': 1, 'implicitValue': 0.25, 'implicitMaxValue': 0.5}]",0.0,1.0,8,0,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
