,baseTypeName,displayName,baseTypeId,maxAffixes,affixEffectModifier,size,maxSockets,subItems
101,Affix Shard,Affix Shard,101,0,0,"{'x': 1, 'y': 1}",0,"{'displayName': 'Void Penetration', 'subTypeId': 0, 'levelRequirement': 42, 'cannotDrop': 0, 'itemTags': 0, 'description': 'Augments an item to grant it a new property or improve an existing one.\\nPress F to open the Crafting Panel.', 'rerollChance': 0}"
101,Affix Shard,Affix Shard,101,0,0,"{'x': 1, 'y': 1}",0,"{'displayName': 'Increased Armour', 'subTypeId': 1, 'levelRequirement': 14, 'cannotDrop': 0, 'itemTags': 0, 'description': 'Augments an item to grant it a new property or improve an existing one.\\nPress F to open the Crafting Panel.', 'rerollChance': 0}"
101,Affix Shard,Affix Shard,101,0,0,"{'x': 1, 'y': 1}",0,"{'displayName': 'Rogue Increased Hail of Arrows Duration', 'subTypeId': 513, 'levelRequirement': 50, 'cannotDrop': 0, 'itemTags': 0, 'description': 'Augments an item to grant it a new property or improve an existing one.\\nPress F to open the Crafting Panel.', 'rerollChance': 0}"
101,Affix Shard,Affix Shard,101,0,0,"{'x': 1, 'y': 1}",0,"{'displayName': 'Increased Melee Attack Speed', 'subTypeId': 2, 'levelRequirement': 0, 'cannotDrop': 0, 'itemTags': 0, 'description': 'Augments an item to grant it a new property or improve an existing one.\\nPress F to open the Crafting Panel.', 'rerollChance': 0}"
101,Affix Shard,Affix Shard,101,0,0,"{'x': 1, 'y': 1}",0,"{'displayName': 'Added Block Chance', 'subTypeId': 3, 'levelRequirement': 0, 'cannotDrop': 0, 'itemTags': 0, 'description': 'Augments an item to grant it a new property or improve an existing one.\\nPress F to open the Crafting Panel.', 'rerollChance': 0}"
101,Affix Shard,Affix Shard,101,0,0,"{'x': 1, 'y': 1}",0,"{'displayName': 'Rogue Increased damage per active Shadow with Shadow Cascade', 'subTypeId': 515, 'levelRequirement': 25, 'cannotDrop': 0, 'itemTags': 0, 'description': 'Augments an item to grant it a new property or improve an existing one.\\nPress F to open the Crafting Panel.', 'rerollChance': 0}"
101,Affix Shard,Affix Shard,101,0,0,"{'x': 1, 'y': 1}",0,"{'displayName': 'Increased Cast Speed', 'subTypeId': 4, 'levelRequirement': 0, 'cannotDrop': 0, 'itemTags': 0, 'description': 'Augments an item to grant it a new property or improve an existing one.\\nPress F to open the Crafting Panel.', 'rerollChance': 0}"
101,Affix Shard,Affix Shard,101,0,0,"{'x': 1, 'y': 1}",0,"{'displayName': 'Increased Critical Strike Chance', 'subTypeId': 5, 'levelRequirement': 0, 'cannotDrop': 0, 'itemTags': 0, 'description': 'Augments an item to grant it a new property or improve an existing one.\\nPress F to open the Crafting Panel.', 'rerollChance': 0}"
101,Affix Shard,Affix Shard,101,0,0,"{'x': 1, 'y': 1}",0,"{'displayName': 'Rogue Bleed Chance with Shurikens', 'subTypeId': 517, 'levelRequirement': 14, 'cannotDrop': 0, 'itemTags': 0, 'description': 'Augments an item to grant it a new property or improve an existing one.\\nPress F to open the Crafting Panel.', 'rerollChance': 0}"
101,Affix Shard,Affix Shard,101,0,0,"{'x': 1, 'y': 1}",0,"{'displayName': 'Added Critical Strike Multiplier', 'subTypeId': 6, 'levelRequirement': 20, 'cannotDrop': 0, 'itemTags': 0, 'description': 'Augments an item to grant it a new property or improve an existing one.\\nPress F to open the Crafting Panel.', 'rerollChance': 0}"
101,Affix Shard,Affix Shard,101,0,0,"{'x': 1, 'y': 1}",0,"{'displayName': 'Void Resistance', 'subTypeId': 7, 'levelRequirement': 6, 'cannotDrop': 0, 'itemTags': 0, 'description': 'Augments an item to grant it a new property or improve an existing one.\\nPress F to open the Crafting Panel.', 'rerollChance': 0}"
101,Affix Shard,Affix Shard,101,0,0,"{'x': 1, 'y': 1}",0,"{'displayName': 'Rogue Added lightning damage with Shurikens', 'subTypeId': 519, 'levelRequirement': 4, 'cannotDrop': 0, 'itemTags': 0, 'description': 'Augments an item to grant it a new property or improve an existing one.\\nPress F to open the Crafting Panel.', 'rerollChance': 0}"
101,Affix Shard,Affix Shard,101,0,0,"{'x': 1, 'y': 1}",0,"{'displayName': 'Added Dodge Rating', 'subTypeId': 8, 'levelRequirement': 0, 'cannotDrop': 0, 'itemTags': 0, 'description': 'Augments an item to grant it a new property or improve an existing one.\\nPress F to open the Crafting Panel.', 'rerollChance': 0}"
101,Affix Shard,Affix Shard,101,0,0,"{'x': 1, 'y': 1}",0,"{'displayName': 'Increased Elemental Damage', 'subTypeId': 9, 'levelRequirement': 8, 'cannotDrop': 0, 'itemTags': 0, 'description': 'Augments an item to grant it a new property or improve an existing one.\\nPress F to open the Crafting Panel.', 'rerollChance': 0}"
101,Affix Shard,Affix Shard,101,0,0,"{'x': 1, 'y': 1}",0,"{'displayName': 'Rogue Increased Acid Flask Area', 'subTypeId': 521, 'levelRequirement': 4, 'cannotDrop': 0, 'itemTags': 0, 'description': 'Augments an item to grant it a new property or improve an existing one.\\nPress F to open the Crafting Panel.', 'rerollChance': 0}"
101,Affix Shard,Affix Shard,101,0,0,"{'x': 1, 'y': 1}",0,"{'displayName': 'Necrotic Resistance', 'subTypeId': 10, 'levelRequirement': 19, 'cannotDrop': 0, 'itemTags': 0, 'description': 'Augments an item to grant it a new property or improve an existing one.\\nPress F to open the Crafting Panel.', 'rerollChance': 0}"
101,Affix Shard,Affix Shard,101,0,0,"{'x': 1, 'y': 1}",0,"{'displayName': 'Freeze Rate Multiplier', 'subTypeId': 11, 'levelRequirement': 10, 'cannotDrop': 0, 'itemTags': 0, 'description': 'Augments an item to grant it a new property or improve an existing one.\\nPress F to open the Crafting Panel.', 'rerollChance': 0}"
101,Affix Shard,Affix Shard,101,0,0,"{'x': 1, 'y': 1}",0,"{'displayName': 'Increased Fire Damage', 'subTypeId': 12, 'levelRequirement': 0, 'cannotDrop': 0, 'itemTags': 0, 'description': 'Augments an item to grant it a new property or improve an existing one.\\nPress F to open the Crafting Panel.', 'rerollChance': 0}"
101,Affix Shard,Affix Shard,101,0,0,"{'x': 1, 'y': 1}",0,"{'displayName': 'Rogue Increased Dancing Strikes Area', 'subTypeId': 524, 'levelRequirement': 25, 'cannotDrop': 0, 'itemTags': 0, 'description': 'Augments an item to grant it a new property or improve an existing one.\\nPress F to open the Crafting Panel.', 'rerollChance': 0}"
101,Affix Shard,Affix Shard,101,0,0,"{'x': 1, 'y': 1}",0,"{'displayName': 'Fire Resistance', 'subTypeId': 13, 'levelRequirement': 0, 'cannotDrop': 0, 'itemTags': 0, 'description': 'Augments an item to grant it a new property or improve an existing one.\\nPress F to open the Crafting Panel.', 'rerollChance': 0}"
